harness,task,run,hidden_passed,hidden_total,cost_usd,minutes,agent_turns,user_replies
none,t1,1,2,5,0.3872,1.35,2,1
none,t1,2,2,5,1.1734,4.04,4,1
none,t1,3,2,5,1.2416,3.99,4,2
none,t2,1,4,5,0.8348,1.89,3,2
none,t2,2,5,5,2.0878,2.47,6,4
none,t2,3,5,5,0.7896,1.83,3,2
none,t3,1,1,1,0.063,0.19,1,0
none,t3,2,1,1,0.0686,0.21,1,0
none,t3,3,1,1,0.0649,0.19,1,0
none,t4,1,3,5,0.3449,1.2,2,1
none,t4,2,5,5,0.3516,0.98,2,1
none,t4,3,5,5,0.3269,0.86,2,1
none,t5,1,5,5,0.5155,1.28,3,2
none,t5,2,2,5,0.6402,1.65,4,2
none,t5,3,2,5,0.1027,0.85,1,0
none,t6,1,5,5,0.2296,0.62,2,1
none,t6,2,5,5,0.2439,0.78,2,1
none,t6,3,5,5,0.2432,0.76,2,1
none,t7,1,5,5,0.3002,0.86,2,1
none,t7,2,5,5,0.2984,0.79,2,1
none,t7,3,5,5,0.3197,1.03,2,1
none,t8,1,1,5,0.5258,1.01,3,1
none,t8,2,1,5,1.266,1.57,6,2
none,t8,3,1,5,0.4162,1.32,2,1
lean-forge-55,t1,1,5,5,0.4417,1.21,2,1
lean-forge-55,t1,2,5,5,0.397,1.04,2,1
lean-forge-55,t1,3,5,5,0.5244,1.67,2,1
lean-forge-55,t2,1,5,5,0.5915,1.66,2,1
lean-forge-55,t2,2,5,5,1.4151,2.31,4,3
lean-forge-55,t2,3,5,5,0.591,1.58,2,1
lean-forge-55,t3,1,1,1,0.2284,0.62,1,0
lean-forge-55,t3,2,1,1,0.1689,0.39,1,0
lean-forge-55,t3,3,1,1,0.1432,0.26,1,0
lean-forge-55,t4,1,5,5,0.4328,1.2,2,1
lean-forge-55,t4,2,5,5,0.3828,0.93,2,1
lean-forge-55,t4,3,5,5,0.4156,1.34,2,1
lean-forge-55,t5,1,5,5,0.6113,1.83,2,1
lean-forge-55,t5,2,5,5,0.4503,1.1,2,1
lean-forge-55,t5,3,5,5,0.4664,1.36,2,1
lean-forge-55,t6,1,5,5,0.3744,0.83,2,1
lean-forge-55,t6,2,5,5,0.362,0.82,2,1
lean-forge-55,t6,3,5,5,0.4115,0.94,2,1
lean-forge-55,t7,1,5,5,0.381,1.12,2,1
lean-forge-55,t7,2,5,5,1.038,1.73,4,2
lean-forge-55,t7,3,5,5,0.3853,1.06,2,1
lean-forge-55,t8,1,5,5,0.509,1.35,2,1
lean-forge-55,t8,2,5,5,0.9232,1.37,3,2
lean-forge-55,t8,3,5,5,0.4838,0.96,2,1
lean-forge,t1,1,5,5,0.3963,1.13,2,1
lean-forge,t1,2,5,5,0.4593,1.34,2,1
lean-forge,t1,3,5,5,0.6927,1.38,3,2
lean-forge,t2,1,4,5,0.4921,1.37,2,1
lean-forge,t2,2,5,5,0.4888,1.37,2,1
lean-forge,t2,3,4,5,0.4509,1.14,2,1
lean-forge,t3,1,1,1,0.1779,0.46,1,0
lean-forge,t3,2,1,1,0.1797,0.44,1,0
lean-forge,t3,3,1,1,0.1239,0.2,1,0
lean-forge,t4,1,5,5,0.3953,1.06,2,1
lean-forge,t4,2,5,5,0.3666,0.84,2,1
lean-forge,t4,3,5,5,0.3869,0.89,2,1
lean-forge,t5,1,5,5,0.4522,1.4,2,1
lean-forge,t5,2,5,5,0.4615,1.53,2,1
lean-forge,t5,3,5,5,0.471,1.19,2,1
lean-forge,t6,1,5,5,0.3984,0.93,2,1
lean-forge,t6,2,5,5,0.3676,0.8,2,1
lean-forge,t6,3,5,5,0.3352,0.8,2,1
lean-forge,t7,1,5,5,0.3699,1.12,2,1
lean-forge,t7,2,5,5,0.381,1.05,2,1
lean-forge,t7,3,5,5,0.3731,0.92,2,1
lean-forge,t8,1,5,5,0.4595,1.2,2,1
lean-forge,t8,2,5,5,0.4829,1.05,2,1
lean-forge,t8,3,4,5,0.5212,1.38,2,1
