id,case,arm,task,rep,hidden,minutes,cost_usd,user_replies
c1-A-t1-r1,1,A,t1,1,OK,37.7,15.0477,5
c1-A-t2-r1,1,A,t2,1,FAILED (failures=1),35.99,14.0333,4
c1-A-t3-r1,1,A,t3,1,OK,16.97,6.7108,0
c1-A-t4-r1,1,A,t4,1,OK,47.36,13.7851,3
c1-A-t5-r1,1,A,t5,1,OK,40.98,13.9049,5
c1-A-t6-r1,1,A,t6,1,OK,38.84,12.69,4
c1-A-t7-r1,1,A,t7,1,OK,33.55,10.8884,4
c1-A-t8-r1,1,A,t8,1,OK,27.19,9.7523,2
c1-B-t1-r1,1,B,t1,1,OK,1.91,0.6781,1
c1-B-t2-r1,1,B,t2,1,FAILED (failures=2),1.76,0.7018,0
c1-B-t3-r1,1,B,t3,1,OK,0.4,0.2219,0
c1-B-t4-r1,1,B,t4,1,"FAILED (failures=1, errors=4)",1.38,0.4595,0
c1-B-t5-r1,1,B,t5,1,FAILED (failures=3),0.71,0.3858,0
c1-B-t6-r1,1,B,t6,1,FAILED (failures=2),0.8,0.3472,0
c1-B-t7-r1,1,B,t7,1,FAILED (failures=5),1.08,0.3673,0
c1-B-t8-r1,1,B,t8,1,FAILED (failures=4),1.46,0.6256,0
c1-C-t1-r1,1,C,t1,1,FAILED (failures=2),2.37,0.6813,1
c1-C-t2-r1,1,C,t2,1,FAILED (failures=1),2.27,0.6293,1
c1-C-t3-r1,1,C,t3,1,OK,0.47,0.2632,0
c1-C-t4-r1,1,C,t4,1,OK,2.42,0.6097,1
c1-C-t5-r1,1,C,t5,1,FAILED (failures=1),2.19,0.6994,1
c1-C-t6-r1,1,C,t6,1,OK,1.73,0.5242,1
c1-C-t7-r1,1,C,t7,1,OK,1.82,0.574,1
c1-D-t1-r1,1,D,t1,1,FAILED (failures=1),2.33,0.7936,1
c1-D-t2-r1,1,D,t2,1,OK,2.87,0.8647,1
c1-D-t3-r1,1,D,t3,1,OK,0.43,0.2546,0
c1-D-t4-r1,1,D,t4,1,OK,1.58,0.5585,1
c1-D-t5-r1,1,D,t5,1,OK,2.38,0.8485,1
c1-D-t6-r1,1,D,t6,1,OK,1.99,0.509,1
c1-D-t7-r1,1,D,t7,1,OK,2.42,0.7199,1
c1-D-t8-r1,1,D,t8,1,OK,1.97,0.6436,1
c1-E-t1-r1,1,E,t1,1,OK,2.48,0.6795,2
c1-E-t2-r1,1,E,t2,1,OK,4.14,0.9615,3
c1-E-t3-r1,1,E,t3,1,OK,0.23,0.1249,0
c1-E-t4-r1,1,E,t4,1,OK,1.81,0.4867,1
c1-E-t5-r1,1,E,t5,1,OK,1.39,0.3616,1
c1-E-t6-r1,1,E,t6,1,OK,1.09,0.3303,1
c1-E-t7-r1,1,E,t7,1,OK,1.98,0.4944,1
c1-E-t8-r1,1,E,t8,1,OK,2.07,0.5241,1
c1-F-t1-r1,1,F,t1,1,OK,2.32,0.6567,1
c1-F-t1-r2,1,F,t1,2,OK,2.92,0.7052,1
c1-F-t2-r1,1,F,t2,1,FAILED (failures=1),2.23,0.5739,1
c1-F-t2-r2,1,F,t2,2,OK,3.48,0.8407,1
c1-F-t3-r1,1,F,t3,1,OK,0.28,0.1295,0
c1-F-t3-r2,1,F,t3,2,OK,0.28,0.1292,0
c1-F-t4-r1,1,F,t4,1,OK,2.38,0.5507,1
c1-F-t4-r2,1,F,t4,2,OK,2.56,0.6718,1
c1-F-t5-r1,1,F,t5,1,FAILED (failures=1),2.67,0.6094,1
c1-F-t5-r2,1,F,t5,2,OK,2.65,0.614,1
c1-F-t6-r1,1,F,t6,1,OK,1.5,0.4471,1
c1-F-t6-r2,1,F,t6,2,OK,1.35,0.4245,1
c1-F-t7-r1,1,F,t7,1,OK,3.99,0.8491,1
c1-F-t7-r2,1,F,t7,2,OK,2.21,0.5076,1
c1-F-t8-r1,1,F,t8,1,OK,2.6,0.6954,1
c1-F-t8-r2,1,F,t8,2,OK,2.53,0.7066,1
c1-G-t1-r1,1,G,t1,1,OK,2.11,0.6799,1
c1-G-t1-r2,1,G,t1,2,OK,2.59,0.7611,1
c1-G-t2-r1,1,G,t2,1,OK,3.15,0.8215,1
c1-G-t2-r2,1,G,t2,2,OK,3.41,0.8412,1
c1-G-t3-r1,1,G,t3,1,OK,0.29,0.1728,0
c1-G-t3-r2,1,G,t3,2,OK,0.28,0.1727,0
c1-G-t4-r1,1,G,t4,1,FAILED (failures=5),3.02,0.7183,1
c1-G-t4-r2,1,G,t4,2,OK,1.19,0.4022,1
c1-G-t5-r1,1,G,t5,1,OK,2.74,0.7921,1
c1-G-t5-r2,1,G,t5,2,OK,2.79,0.8286,1
c1-G-t6-r1,1,G,t6,1,OK,2.08,0.6634,1
c1-G-t6-r2,1,G,t6,2,OK,2.13,0.6319,1
c1-G-t7-r1,1,G,t7,1,OK,2.19,0.6617,1
c1-G-t7-r2,1,G,t7,2,OK,3.02,0.6736,1
c1-G-t8-r1,1,G,t8,1,OK,2.16,0.7271,1
c1-G-t8-r2,1,G,t8,2,OK,2.91,0.8577,1
c2-A-t1-r1,2,A,t1,1,OK,23.73,12.305,3
c2-A-t2-r1,2,A,t2,1,FAILED (failures=1),31.44,15.3846,1
c2-A-t3-r1,2,A,t3,1,OK,25.99,15.61,1
c2-A-t4-r1,2,A,t4,1,OK,48.62,19.6701,4
c2-A-t5-r1,2,A,t5,1,OK,51.33,25.2724,3
c2-A-t6-r1,2,A,t6,1,OK,47.27,22.2366,3
c2-A-t7-r1,2,A,t7,1,OK,44.04,22.095,3
c2-B-t1-r1,2,B,t1,1,FAILED (failures=3),1.26,1.1483,0
c2-B-t2-r1,2,B,t2,1,FAILED (failures=2),2.26,1.5562,0
c2-B-t3-r1,2,B,t3,1,OK,0.59,0.7855,0
